block_id,segment_id,division,date,window_start,window_end,available_duration_hrs,block_feasible,blocking_train_ids,generation_basis
BLK-000001,SEG-001,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000002,SEG-002,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000003,SEG-003,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000004,SEG-004,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000005,SEG-005,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000006,SEG-006,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000007,SEG-007,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000008,SEG-008,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000009,SEG-009,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000010,SEG-010,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000011,SEG-011,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000012,SEG-012,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000013,SEG-013,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000014,SEG-014,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000015,SEG-015,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000016,SEG-016,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000017,SEG-017,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000018,SEG-018,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000019,SEG-019,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000020,SEG-020,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000021,SEG-021,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000022,SEG-022,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000023,SEG-023,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000024,SEG-024,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000025,SEG-025,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000026,SEG-026,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000027,SEG-027,Agra,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000028,SEG-028,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000029,SEG-029,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000030,SEG-030,Delhi,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000031,SEG-031,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000032,SEG-032,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000033,SEG-033,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
BLK-000034,SEG-034,Delhi,2024-01-01,00:00,04:38,4.63,1,,Actual timetable interval gap
BLK-000035,SEG-035,Agra,2024-01-01,20:56,00:00,3.07,1,,Actual timetable interval gap
