event_id,segment_id,event_date,defect_grade,severity,failure_event,days_to_repair,root_cause,grade3_defects_previous_90d,overdue_tasks_active,causal_grade3_multiplier,causal_monsoon_multiplier,causal_freight_age_multiplier,causal_overdue_multiplier,daily_hazard_at_event
DEF-00001,SEG-048,2024-01-13,2,Major,0,8,Electrical degradation,0,0,1.0,1.0,1.0,1.0,0.0007177500000000001
DEF-00002,SEG-015,2024-01-15,1,Minor,0,17,Geometry,0,0,1.0,1.0,1.0,1.0,0.0005
DEF-00003,SEG-048,2024-02-13,2,Major,0,21,Geometry,0,0,1.0,1.0,1.0,1.0,0.0007177500000000001
DEF-00004,SEG-024,2024-02-24,2,Major,0,22,Fatigue,0,0,1.0,1.0,1.0,1.0,0.00055
DEF-00005,SEG-025,2024-03-17,1,Minor,0,22,Weather,0,0,1.0,1.0,1.0,1.0,0.0007875
DEF-00006,SEG-041,2024-04-02,3,Critical,1,19,Weather,0,0,1.0,1.0,1.0,1.0,0.0007975
DEF-00007,SEG-040,2024-05-10,3,Critical,0,17,Wear,0,0,1.0,1.0,1.0,1.0,0.0005
DEF-00008,SEG-038,2024-06-18,1,Minor,0,22,Weather,0,0,1.0,1.5,2.0,1.0,0.003045
DEF-00009,SEG-007,2024-06-28,1,Minor,0,21,Drainage,0,0,1.0,1.5,2.0,1.0,0.003045
DEF-00010,SEG-032,2024-07-19,1,Minor,0,7,Electrical degradation,0,0,1.0,1.5,1.0,1.0,0.0019031249999999999
DEF-00011,SEG-020,2024-07-28,1,Minor,0,9,Fatigue,0,0,1.0,1.5,1.0,1.0,0.0015225
DEF-00012,SEG-007,2024-08-25,2,Major,0,16,Freight loading,0,0,1.0,1.5,2.0,1.0,0.003045
DEF-00013,SEG-032,2024-09-03,1,Minor,0,14,Freight loading,0,0,1.0,1.5,1.0,1.0,0.0019031249999999999
DEF-00014,SEG-044,2024-09-03,2,Major,0,16,Weather,0,0,1.0,1.5,1.0,1.0,0.000945
DEF-00015,SEG-021,2024-10-22,1,Minor,0,3,Electrical degradation,0,0,1.0,1.0,1.0,1.0,0.0005
DEF-00016,SEG-004,2024-10-31,1,Minor,0,19,Geometry,0,0,1.0,1.0,1.0,1.0,0.00078125
DEF-00017,SEG-042,2024-11-23,1,Minor,0,23,Geometry,0,0,1.0,1.0,1.0,1.0,0.0006875000000000001
DEF-00018,SEG-044,2024-11-24,2,Major,0,18,Electrical degradation,0,0,1.0,1.0,1.0,1.0,0.00063
DEF-00019,SEG-032,2024-11-25,3,Critical,1,19,Freight loading,0,0,1.0,1.0,1.0,1.0,0.0012687500000000001
DEF-00020,SEG-009,2024-12-20,3,Critical,0,11,Drainage,0,0,1.0,1.0,1.0,1.0,0.000625
DEF-00021,SEG-024,2025-04-01,2,Major,0,16,Electrical degradation,0,0,1.0,1.0,1.0,1.0,0.00055
DEF-00022,SEG-019,2025-05-25,1,Minor,0,23,Drainage,0,0,1.0,1.0,1.0,1.0,0.00063
DEF-00023,SEG-047,2025-06-19,1,Minor,0,3,Drainage,0,0,1.0,1.0,1.0,1.0,0.000495
DEF-00024,SEG-005,2025-06-24,1,Minor,0,3,Weather,0,0,1.0,1.0,1.0,1.0,0.000495
DEF-00025,SEG-038,2025-07-02,2,Major,0,20,Drainage,0,0,1.0,1.5,2.0,1.0,0.003045
DEF-00026,SEG-043,2025-08-09,1,Minor,0,2,Weather,0,0,1.0,1.5,1.0,1.0,0.00137025
DEF-00027,SEG-008,2025-08-15,2,Major,0,22,Fatigue,0,0,1.0,1.5,1.0,1.0,0.000945
DEF-00028,SEG-038,2025-10-31,2,Major,0,11,Geometry,0,0,1.0,1.0,2.0,1.0,0.00203
DEF-00029,SEG-031,2025-11-05,2,Major,0,21,Wear,0,0,1.0,1.0,1.0,1.0,0.001015
DEF-00030,SEG-002,2025-12-05,2,Major,0,9,Electrical degradation,0,0,1.0,1.0,1.0,1.0,0.0009135
DEF-00031,SEG-043,2025-12-15,1,Minor,0,10,Electrical degradation,0,0,1.0,1.0,1.0,1.0,0.0009135
DEF-00032,SEG-039,2025-12-21,1,Minor,0,19,Geometry,0,0,1.0,1.0,1.0,1.0,0.0009062499999999999
DEF-00033,SEG-014,2025-12-25,2,Major,0,11,Drainage,0,0,1.0,1.0,1.0,1.0,0.000875
DEF-00034,SEG-032,2025-12-27,2,Major,0,6,Fatigue,0,0,1.0,1.0,1.0,1.0,0.0012687500000000001
DEF-00035,SEG-001,2025-08-01,3,Critical,0,12,Causal-rule demonstration,0,0,1.0,1.5,1.0,1.0,
DEF-00036,SEG-001,2025-08-20,3,Critical,0,12,Causal-rule demonstration,1,0,1.0,1.5,1.0,1.0,
DEF-00037,SEG-001,2025-09-05,3,Critical,1,12,Causal-rule demonstration,2,0,8.0,1.5,1.0,1.0,
DEF-00038,SEG-003,2025-07-10,3,Critical,0,12,Causal-rule demonstration,0,0,1.0,1.5,1.0,1.0,
DEF-00039,SEG-003,2025-07-30,3,Critical,0,12,Causal-rule demonstration,1,0,1.0,1.5,1.0,1.0,
DEF-00040,SEG-003,2025-08-15,3,Critical,1,12,Causal-rule demonstration,2,0,8.0,1.5,1.0,1.0,
