date,segment_id,asset_type,base_daily_hazard,grade3_defects_previous_90d,overdue_tasks_active,age_years,freight_density_class,monsoon_exposure,monsoon_month,grade3_cluster_multiplier,monsoon_multiplier,freight_age_multiplier,overdue_multiplier,total_hazard_multiplier,daily_failure_hazard
2024-01-01,SEG-001,Track,0.0007,0,0,48,Low,Low,0,1.0,1.0,1.0,1.0,1.305,0.0009135
2024-01-01,SEG-002,Track,0.0007,0,0,42,Low,Low,0,1.0,1.0,1.0,1.0,1.305,0.0009135
2024-01-01,SEG-003,S&T,0.0005,0,0,9,Medium,Medium,0,1.0,1.0,1.0,1.0,1.0,0.0005
2024-01-01,SEG-004,S&T,0.0005,0,0,25,Medium,High,0,1.0,1.0,1.0,1.0,1.5625,0.00078125
2024-01-01,SEG-005,Traction/OHE,0.00055,0,0,17,Medium,Low,0,1.0,1.0,1.0,1.0,0.9,0.000495
2024-01-01,SEG-006,Traction/OHE,0.00055,0,0,30,Medium,Medium,0,1.0,1.0,1.0,1.0,1.0,0.00055
2024-01-01,SEG-007,Track,0.0007,0,0,32,High,Medium,0,1.0,1.0,2.0,1.0,2.9,0.00203
2024-01-01,SEG-008,Track,0.0007,0,0,20,Low,Low,0,1.0,1.0,1.0,1.0,0.9,0.00063
2024-01-01,SEG-009,S&T,0.0005,0,0,22,High,Medium,0,1.0,1.0,1.0,1.0,1.25,0.000625
2024-01-01,SEG-010,S&T,0.0005,0,0,30,Medium,High,0,1.0,1.0,1.0,1.0,1.25,0.000625
2024-01-01,SEG-011,Traction/OHE,0.00055,0,0,18,Low,Medium,0,1.0,1.0,1.0,1.0,1.0,0.00055
2024-01-01,SEG-012,Traction/OHE,0.00055,0,0,43,Low,High,0,1.0,1.0,1.0,1.0,1.8125,0.000996875
2024-01-01,SEG-013,Track,0.0007,0,0,28,Medium,High,0,1.0,1.0,1.0,1.0,1.25,0.000875
2024-01-01,SEG-014,Track,0.0007,0,0,21,Medium,High,0,1.0,1.0,1.0,1.0,1.25,0.000875
2024-01-01,SEG-015,S&T,0.0005,0,0,23,Medium,Medium,0,1.0,1.0,1.0,1.0,1.0,0.0005
2024-01-01,SEG-016,S&T,0.0005,0,0,31,Low,Medium,0,1.0,1.0,1.0,1.0,1.74,0.0008699999999999999
2024-01-01,SEG-017,Traction/OHE,0.00055,0,0,15,Medium,Medium,0,1.0,1.0,1.0,1.0,1.0,0.00055
2024-01-01,SEG-018,Traction/OHE,0.00055,0,0,46,High,High,0,1.0,1.0,2.0,1.0,4.53125,0.0024921874999999996
2024-01-01,SEG-019,Track,0.0007,0,0,15,Medium,Low,0,1.0,1.0,1.0,1.0,0.9,0.00063
2024-01-01,SEG-020,Track,0.0007,0,0,35,Medium,Medium,0,1.0,1.0,1.0,1.0,1.45,0.001015
2024-01-01,SEG-021,S&T,0.0005,0,0,19,High,Medium,0,1.0,1.0,1.0,1.0,1.0,0.0005
2024-01-01,SEG-022,S&T,0.0005,0,0,20,High,Medium,0,1.0,1.0,1.0,1.0,1.0,0.0005
2024-01-01,SEG-023,Traction/OHE,0.00055,0,0,8,Medium,Low,0,1.0,1.0,1.0,1.0,0.9,0.000495
2024-01-01,SEG-024,Traction/OHE,0.00055,0,0,27,Low,Medium,0,1.0,1.0,1.0,1.0,1.0,0.00055
2024-01-01,SEG-025,Track,0.0007,0,0,12,Medium,Low,0,1.0,1.0,1.0,1.0,1.125,0.0007875
2024-01-01,SEG-026,Track,0.0007,0,0,18,Low,Medium,0,1.0,1.0,1.0,1.0,1.2,0.0008399999999999999
2024-01-01,SEG-027,S&T,0.0005,0,0,20,Medium,Medium,0,1.0,1.0,1.0,1.0,1.0,0.0005
2024-01-01,SEG-028,S&T,0.0005,0,0,36,Medium,Low,0,1.0,1.0,1.0,1.0,1.305,0.0006525
2024-01-01,SEG-029,Traction/OHE,0.00055,0,0,22,Low,Low,0,1.0,1.0,1.0,1.0,0.9,0.000495
2024-01-01,SEG-030,Traction/OHE,0.00055,0,0,29,Low,Medium,0,1.0,1.0,1.0,1.0,1.0,0.00055
2024-01-01,SEG-031,Track,0.0007,0,0,44,Medium,Medium,0,1.0,1.0,1.0,1.0,1.45,0.001015
2024-01-01,SEG-032,Track,0.0007,0,0,35,Low,High,0,1.0,1.0,1.0,1.0,1.8125,0.0012687500000000001
