task_id,segment_id,division,department,type,planned_duration_hrs,actual_duration_hrs,planned_date,completion_date,overdue_flag,overdue_days,overrun_flag
TASK-00001,SEG-001,Agra,Engineering,Rail Grinding,5.62,4.57,2024-04-04,2024-04-04,0,0,0
TASK-00002,SEG-001,Agra,Engineering,Tamping,7.87,11.01,2025-10-14,2025-10-14,0,0,1
TASK-00003,SEG-001,Agra,Engineering,Track Inspection,1.99,2.13,2024-04-24,2024-04-24,0,0,0
TASK-00004,SEG-001,Agra,Engineering,Tamping,5.09,4.14,2025-08-19,2025-08-19,0,0,0
TASK-00005,SEG-001,Agra,Engineering,Drainage Cleaning,2.87,2.38,2025-01-01,2025-01-01,0,0,0
TASK-00006,SEG-001,Agra,Engineering,Rail Grinding,6.37,5.55,2025-09-27,2025-10-23,1,26,0
TASK-00007,SEG-001,Agra,Engineering,Rail Grinding,1.66,1.49,2025-02-26,2025-02-26,0,0,0
TASK-00008,SEG-001,Agra,Engineering,Rail Grinding,2.53,2.31,2024-09-30,2024-10-16,1,16,0
TASK-00009,SEG-001,Agra,Engineering,Rail Grinding,6.81,6.07,2024-07-23,2024-07-23,0,0,0
TASK-00010,SEG-001,Agra,Engineering,Track Inspection,1.65,2.22,2024-08-16,2024-08-16,0,0,1
TASK-00011,SEG-002,Delhi,Engineering,Tamping,4.81,5.07,2025-10-18,2025-10-18,0,0,0
TASK-00012,SEG-002,Delhi,Engineering,Tamping,7.2,7.01,2024-04-28,2024-04-28,0,0,0
TASK-00013,SEG-002,Delhi,Engineering,Tamping,5.38,5.57,2024-04-21,2024-04-21,0,0,0
TASK-00014,SEG-002,Delhi,Engineering,Rail Grinding,7.35,8.97,2025-01-29,2025-01-29,0,0,1
TASK-00015,SEG-002,Delhi,Engineering,Tamping,4.3,4.63,2025-01-07,2025-01-07,0,0,0
TASK-00016,SEG-002,Delhi,Engineering,Rail Grinding,4.8,4.31,2024-11-03,2024-11-03,0,0,0
TASK-00017,SEG-002,Delhi,Engineering,Track Inspection,4.23,4.24,2024-07-15,2024-07-15,0,0,0
