segment_id,observation_start,observation_end,observed_end,duration_days,failure_event,right_censored
SEG-001,2024-01-01,2025-12-31,2025-09-05,614,1,0
SEG-002,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-003,2024-01-01,2025-12-31,2025-08-15,593,1,0
SEG-004,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-005,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-006,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-007,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-008,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-009,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-010,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-011,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-012,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-013,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-014,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-015,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-016,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-017,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-018,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-019,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-020,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-021,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-022,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-023,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-024,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-025,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-026,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-027,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-028,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-029,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-030,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-031,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-032,2024-01-01,2025-12-31,2024-11-25,330,1,0
SEG-033,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-034,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-035,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-036,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-037,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-038,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-039,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-040,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-041,2024-01-01,2025-12-31,2024-04-02,93,1,0
SEG-042,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-043,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-044,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-045,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-046,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-047,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-048,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-049,2024-01-01,2025-12-31,2025-12-31,731,0,1
SEG-050,2024-01-01,2025-12-31,2025-12-31,731,0,1
