train_id,train_number,train_type,origin,destination,departure_time,arrival_time,running_days,schedule_class
TRN-001,12000,Superfast,Delhi,Agra,12:37,14:21,Daily,Fixed
TRN-002,12001,Passenger,Agra,Delhi,05:51,08:21,Tue-Sun,Fixed
TRN-003,12002,Superfast,Delhi,Agra,06:29,08:26,Daily,Fixed
TRN-004,12003,Express,Agra,Delhi,10:44,13:06,Mon-Fri,Fixed
TRN-005,12004,Express,Delhi,Agra,12:00,13:32,Mon-Fri,Fixed
TRN-006,12005,Superfast,Agra,Delhi,10:36,12:36,Tue-Sun,Fixed
TRN-007,12006,Express,Delhi,Agra,14:26,16:05,Mon-Fri,Fixed
TRN-008,12007,Freight,Agra,Delhi,18:37,20:18,"Mon,Wed,Fri",Variable
TRN-009,12008,Express,Delhi,Agra,11:33,13:48,Mon-Fri,Fixed
TRN-010,12009,Freight,Agra,Delhi,08:35,10:37,Mon-Sat,Variable
TRN-011,12010,Express,Delhi,Agra,16:14,18:13,Tue-Sun,Fixed
TRN-012,12011,Superfast,Agra,Delhi,09:59,11:29,Mon-Fri,Fixed
TRN-013,12012,Freight,Delhi,Agra,08:46,11:14,"Tue,Thu,Sat",Variable
TRN-014,12013,Express,Agra,Delhi,06:36,08:05,Daily,Fixed
TRN-015,12014,Freight,Delhi,Agra,05:03,07:14,"Tue,Thu,Sat",Variable
TRN-016,12015,Freight,Agra,Delhi,22:49,00:42,Mon-Sat,Variable
TRN-017,12016,Superfast,Delhi,Agra,09:04,11:10,Tue-Sun,Fixed
TRN-018,12017,Passenger,Agra,Delhi,13:55,15:32,Tue-Sun,Fixed
TRN-019,12018,Superfast,Delhi,Agra,07:05,09:15,Mon-Fri,Fixed
TRN-020,12019,Superfast,Agra,Delhi,12:09,13:50,Mon-Sat,Fixed
TRN-021,12020,Express,Delhi,Agra,10:06,11:44,Tue-Sun,Fixed
TRN-022,12021,Freight,Agra,Delhi,05:22,07:10,Mon-Sat,Variable
TRN-023,12022,Passenger,Delhi,Agra,13:01,15:08,Mon-Sat,Fixed
TRN-024,12023,Passenger,Agra,Delhi,11:03,13:29,Mon-Fri,Fixed
TRN-025,12024,Express,Delhi,Agra,19:31,20:56,Daily,Fixed
TRN-026,12025,Freight,Agra,Delhi,15:03,16:36,Daily,Variable
TRN-027,12026,Freight,Delhi,Agra,12:59,15:28,"Tue,Thu,Sat",Variable
TRN-028,12027,Express,Agra,Delhi,16:55,19:01,Daily,Fixed
TRN-029,12028,Superfast,Delhi,Agra,16:50,18:38,Tue-Sun,Fixed
TRN-030,12029,Express,Agra,Delhi,15:46,18:08,Tue-Sun,Fixed
TRN-031,12030,Freight,Delhi,Agra,04:13,06:37,"Tue,Thu,Sat",Variable
TRN-032,12031,Express,Agra,Delhi,11:51,13:20,Mon-Fri,Fixed
TRN-033,12032,Passenger,Delhi,Agra,10:22,12:02,Mon-Fri,Fixed
TRN-034,12033,Superfast,Agra,Delhi,08:02,09:51,Tue-Sun,Fixed
TRN-035,12034,Freight,Delhi,Agra,07:52,10:13,Mon-Sat,Variable
TRN-036,12035,Express,Agra,Delhi,09:30,11:42,Daily,Fixed
TRN-037,12036,Passenger,Delhi,Agra,08:21,10:01,Mon-Sat,Fixed
TRN-038,12037,Superfast,Agra,Delhi,05:20,06:58,Daily,Fixed
TRN-039,12038,Passenger,Delhi,Agra,10:08,12:34,Tue-Sun,Fixed
TRN-040,12039,Superfast,Agra,Delhi,04:38,06:34,Daily,Fixed
