feature,importance
defect_count_month,0.39333782
monsoon_exposure_Low,0.24797302
curve_gradient_class_Low-Flat,0.11936961
asset_type_S&T,0.06947415
age_years,0.050617076
curve_gradient_class_High-Steep,0.03980547
installation_year,0.031973753
freight_density_class_Low,0.013843936
length_km,0.009607751
curve_gradient_class_Low-Moderate,0.0075920178
monsoon_month,0.0071220305
monsoon_exposure_High,0.005271349
overdue_tasks_active,0.0011359644
defect_count_prev_month,0.0009278072
asset_type_Track,0.0008006456
monsoon_exposure_Medium,0.0005294061
division_Agra,0.00028798965
overdue_days_max,0.00017018222
division_Delhi,0.00016008217
grade3_defects_previous_90d,0.0
asset_type_Traction/OHE,0.0
curve_gradient_class_Low-Steep,0.0
curve_gradient_class_High-Flat,0.0
curve_gradient_class_High-Moderate,0.0
curve_gradient_class_Medium-Flat,0.0
curve_gradient_class_Medium-Moderate,0.0
freight_density_class_High,0.0
freight_density_class_Medium,0.0
