segment_id,division,asset_type,age_years,hazard,failure_probability_30d,risk_score
SEG-039,Agra,S&T,39,0.9543074,1.0,100.0
SEG-002,Delhi,Track,42,0.46042892,1.0,100.0
SEG-043,Agra,Track,45,0.011405003,0.2911532,29.115318
SEG-014,Delhi,Track,21,0.0002076937,0.0062129498,0.621295
SEG-028,Delhi,S&T,36,0.0001448226,0.004336059,0.4336059
SEG-020,Delhi,Track,35,0.00013462346,0.004031539,0.4031539
SEG-012,Delhi,Traction/OHE,43,8.932829e-05,0.0026769638,0.26769638
SEG-018,Delhi,Traction/OHE,46,7.081915e-05,0.0021221638,0.21221638
SEG-030,Delhi,Traction/OHE,29,6.108174e-05,0.0018312335,0.18312335
SEG-034,Delhi,S&T,42,5.960903e-05,0.0017865896,0.17865896
SEG-033,Agra,S&T,14,4.4708013e-05,0.0013402104,0.13402104
SEG-009,Agra,S&T,22,3.801549e-05,0.0011402369,0.114023685
SEG-029,Agra,Traction/OHE,22,3.801549e-05,0.0011402369,0.114023685
SEG-031,Agra,Track,44,3.4567896e-05,0.0010365844,0.10365844
SEG-035,Agra,Traction/OHE,36,3.2772263e-05,0.0009829998,0.09829998
SEG-046,Delhi,S&T,40,3.199792e-05,0.0009598136,0.09598136
SEG-007,Agra,Track,32,3.192915e-05,0.00095802546,0.095802546
SEG-017,Agra,Traction/OHE,15,3.193777e-05,0.00095802546,0.095802546
SEG-010,Delhi,S&T,30,3.0712123e-05,0.00092047453,0.09204745
SEG-042,Delhi,Traction/OHE,15,2.973498e-05,0.0008919239,0.08919239
SEG-040,Delhi,S&T,28,2.973498e-05,0.0008919239,0.08919239
SEG-016,Delhi,S&T,31,2.973498e-05,0.0008919239,0.08919239
SEG-048,Delhi,Traction/OHE,41,2.5928979e-05,0.0007775426,0.07775426
SEG-013,Agra,Track,28,2.5730515e-05,0.0007721782,0.07721782
SEG-024,Delhi,Traction/OHE,27,2.498107e-05,0.00074899197,0.0748992
SEG-005,Agra,Traction/OHE,17,1.6901029e-05,0.00050771236,0.050771236
SEG-047,Agra,Traction/OHE,18,1.6901029e-05,0.00050771236,0.050771236
SEG-015,Agra,S&T,23,1.6901029e-05,0.00050771236,0.050771236
SEG-027,Agra,S&T,20,1.6901029e-05,0.00050771236,0.050771236
SEG-021,Agra,S&T,19,1.6901029e-05,0.00050771236,0.050771236
SEG-023,Agra,Traction/OHE,8,1.6901029e-05,0.00050771236,0.050771236
SEG-011,Agra,Traction/OHE,18,1.6901029e-05,0.00050771236,0.050771236
SEG-045,Agra,S&T,12,1.6901029e-05,0.00050771236,0.050771236
SEG-049,Agra,Track,16,1.6896469e-05,0.0005059242,0.050592422
SEG-037,Agra,Track,21,1.6896469e-05,0.0005059242,0.050592422
SEG-019,Agra,Track,15,1.6896469e-05,0.0005059242,0.050592422
SEG-036,Delhi,Traction/OHE,8,1.6044754e-05,0.00048089027,0.048089027
SEG-004,Delhi,S&T,25,1.6044754e-05,0.00048089027,0.048089027
SEG-038,Delhi,Track,37,1.531512e-05,0.0004594326,0.04594326
SEG-026,Delhi,Track,18,1.32160285e-05,0.00039690733,0.039690733
SEG-006,Delhi,Traction/OHE,30,1.32195955e-05,0.00039690733,0.039690733
SEG-008,Delhi,Track,20,1.32160285e-05,0.00039690733,0.039690733
SEG-050,Delhi,Track,21,1.32160285e-05,0.00039690733,0.039690733
SEG-022,Delhi,S&T,20,1.32195955e-05,0.00039690733,0.039690733
SEG-025,Agra,Track,12,8.6928185e-06,0.00026106834,0.026106834
SEG-044,Delhi,Track,24,8.423105e-06,0.00025212765,0.025212765
